patch,champ,role,picks_by,bans_vs,series_presence
16.07,Kalista,bot,1,2,2
16.07,Xin Zhao,jng,2,1,2
16.07,Akali,mid,1,1,1
16.07,Jarvan IV,jng,1,1,2
16.07,Karma,sup,0,2,1
16.07,Lulu,sup,2,0,2
16.07,Nautilus,sup,0,2,1
16.07,Ryze,mid,0,2,1
16.07,Seraphine,sup,2,0,2
16.07,Varus,bot,0,2,1
16.07,Aatrox,jng,1,0,1
16.07,Ambessa,top,1,0,1
16.07,Aphelios,bot,1,0,1
16.07,Ashe,bot,1,0,1
16.07,Aurora,mid,0,1,1
16.07,Azir,mid,1,0,1
16.07,Ezreal,bot,1,0,1
16.07,Galio,mid,0,1,1
16.07,Gnar,top,0,1,1
16.07,Jinx,bot,0,1,1
16.07,LeBlanc,mid,0,1,1
16.07,Renekton,top,1,0,1
16.07,Rumble,top,1,0,1
16.07,Sion,top,1,0,1
16.07,Sivir,bot,0,1,1
16.07,Sylas,mid,1,0,1
16.07,Syndra,mid,1,0,1
16.07,Viktor,mid,0,1,1
16.08,Karma,sup,1,2,2
16.08,Ryze,mid,1,2,2
16.08,Sion,top,0,3,2
16.08,Akali,mid,0,2,1
16.08,Aurora,mid,1,1,2
16.08,Corki,bot,2,0,2
16.08,Nami,sup,2,0,2
16.08,Pantheon,jng,1,1,1
16.08,Syndra,mid,0,2,2
16.08,Xin Zhao,jng,1,1,1
16.08,Anivia,mid,0,1,1
16.08,Ashe,bot,0,1,1
16.08,Ezreal,bot,1,0,1
16.08,Jarvan IV,jng,1,0,1
16.08,K'Sante,top,0,1,1
16.08,LeBlanc,mid,1,0,1
16.08,Lulu,sup,1,0,1
16.08,Nautilus,sup,0,1,1
16.08,Ornn,top,1,0,1
16.08,Renekton,top,1,0,1
16.08,Rumble,top,1,0,1
16.08,Seraphine,sup,0,1,1
16.08,Sylas,top,1,0,1
16.08,Vi,jng,1,0,1
16.08,Viktor,mid,1,0,1
16.08,Wukong,jng,0,1,1
16.08,Yunara,bot,1,0,1
16.09,Karma,sup,0,4,3
16.09,Kalista,bot,2,1,2
16.09,Rumble,top,1,2,2
16.09,Seraphine,sup,1,2,2
16.09,Xin Zhao,jng,1,2,2
16.09,Ashe,bot,1,1,2
16.09,Aurora,mid,0,2,1
16.09,Ezreal,bot,0,2,2
16.09,LeBlanc,mid,0,2,1
16.09,Lulu,sup,0,2,1
16.09,Nami,sup,1,1,2
16.09,Pantheon,jng,1,1,2
16.09,Renata Glasc,sup,2,0,2
16.09,Sion,top,1,1,2
16.09,Akali,mid,1,0,1
16.09,Ambessa,top,1,0,1
16.09,Anivia,mid,1,0,1
16.09,Azir,mid,0,1,1
16.09,Brand,top,1,0,1
16.09,Ekko,mid,1,0,1
16.09,Fiddlesticks,sup,1,0,1
16.09,Hecarim,jng,1,0,1
16.09,Jayce,top,0,1,1
16.09,Lucian,bot,1,0,1
16.09,Mel,bot,1,0,1
16.09,Nautilus,sup,0,1,1
16.09,Orianna,mid,0,1,1
16.09,Ornn,top,0,1,1
16.09,Renekton,top,1,0,1
16.09,Ryze,mid,1,0,1
16.09,Sejuani,jng,1,0,1
16.09,Senna,sup,1,0,1
16.09,Shyvana,jng,1,0,1
16.09,Varus,top,1,0,1
16.09,Vayne,mid,1,0,1
16.09,Vi,jng,0,1,1
16.09,Viktor,mid,1,0,1
16.09,Wukong,jng,0,1,1
16.09,Yasuo,bot,1,0,1
16.09,Zaahen,jng,1,0,1
16.10,Varus,bot,0,3,1
16.10,Anivia,mid,0,2,1
16.10,Orianna,mid,0,2,1
16.10,Rumble,top,1,1,1
16.10,Aatrox,jng,0,1,1
16.10,Akali,mid,1,0,1
16.10,Ambessa,top,0,1,1
16.10,Aurora,mid,0,1,1
16.10,Ezreal,bot,1,0,1
16.10,K'Sante,top,1,0,1
16.10,Kalista,bot,1,0,1
16.10,Karma,sup,1,0,1
16.10,Lulu,sup,0,1,1
16.10,Nami,sup,1,0,1
16.10,Nautilus,sup,0,1,1
16.10,Pantheon,jng,1,0,1
16.10,Renata Glasc,sup,1,0,1
16.10,Ryze,mid,0,1,1
16.10,Sion,top,1,0,1
16.10,Sivir,bot,1,0,1
16.10,Skarner,jng,1,0,1
16.10,Vi,jng,0,1,1
16.10,Viktor,mid,1,0,1
16.10,Xin Zhao,jng,1,0,1
16.10,Yasuo,mid,1,0,1
